__time,/record/cur_comp.0,/record/cur_comp.1,/record/cur_comp.2,/record/cur_comp.3,/record/cur_comp.4,/record/cur_comp.5,/record/cur_fb.0,/record/cur_fb.1,/record/cur_fb.2,/record/cur_fb.3,/record/cur_fb.4,/record/cur_fb.5,/record/cur_fric.0,/record/cur_fric.1,/record/cur_fric.2,/record/cur_fric.3,/record/cur_fric.4,/record/cur_fric.5,/record/cur_null.0,/record/cur_null.1,/record/cur_null.2,/record/cur_null.3,/record/cur_null.4,/record/cur_null.5,/record/pos_q.0,/record/pos_q.1,/record/pos_q.2,/record/pos_q.3,/record/pos_q.4,/record/pos_q.5,/record/pos_t.0,/record/pos_t.1,/record/pos_t.2,/record/pos_x.0,/record/pos_x.1,/record/pos_x.2
1704456553.07486,0.132685023,0.002205751,-0.01827307,0.180137675,0.005884443,0,0.518470109,2.411264896,-3.683076143,-0.333775103,0.253274113,0.397077292,0.591231844,0.700197568,-0.545895657,0.320889124,0.299445059,0.466149541,0.173062245,0.003070002,-0.019448597,0.183299877,0.005987191,0.000407056,0.04881308,-0.349152137,1.724549139,-1.41557345,-1.049177878,-0.001065264,0.314506942,-0.000518185,0.12219917,0.3135585,-0.016051971,0.121980798
1704456553.08631,0.098485874,0.002102543,-0.016095497,0.133290796,0.006910646,0,0.623666584,2.474706888,-3.815412045,-0.351793259,0.317346841,0.391322553,0.535056875,0.663321005,-0.516616209,0.342661289,0.285285147,0.441936888,0.138596497,0.002384727,-0.017499581,0.136381951,0.007062106,0.000373364,0.050935619,-0.349136158,1.724547008,-1.415628844,-1.049162964,-0.001057808,0.314506942,-0.000518185,0.12219917,0.313599733,-0.015399183,0.121987339
1704456553.09818,0.089445355,0.002098922,-0.015917649,0.120845508,0.007768501,0,0.519968987,2.342434883,-3.683076143,-0.299467921,0.305218488,0.368348539,0.504465096,0.623693268,-0.485879269,0.332075038,0.269519875,0.415548785,0.131717158,0.002287831,-0.017442668,0.12409818,0.007937456,0.000395337,0.053749515,-0.349120712,1.724553932,-1.415592092,-1.04915604,-0.001057808,0.314506942,-0.000518185,0.12219917,0.313642006,-0.014508263,0.121990002
1704456553.10961,0.094239509,0.002182062,-0.017091621,0.127269638,0.008858286,0,0.503334463,2.411573887,-3.654375315,-0.333973497,0.259027362,0.402832031,0.4908672,0.583734001,-0.45705541,0.3270103,0.253686652,0.388701649,0.142247786,0.002553054,-0.018760675,0.130956943,0.009036849,0.000421696,0.056697368,-0.349103135,1.724558726,-1.415669856,-1.049170421,-0.001068993,0.314506942,-0.000518185,0.12219917,0.31368177,-0.013601535,0.121995859
1704456553.12066,0.10005437,0.0021709,-0.017811609,0.13517784,0.009386736,0,0.54914844,2.376736879,-3.677298784,-0.32272771,0.224434987,0.454661161,0.486878483,0.557227256,-0.438488419,0.327789933,0.243037079,0.370755755,0.154214393,0.002645316,-0.019686974,0.139313645,0.009584205,0.000428991,0.058481686,-0.349047208,1.724544345,-1.415503143,-1.049170421,-0.001068993,0.314506942,-0.000518185,0.12219917,0.313713852,-0.013002511,0.12201333
1704456553.13281,0.123054124,0.002332499,-0.020599737,0.166451928,0.010610136,0,0.518725514,2.326119661,-3.69456315,-0.322265625,0.265280545,0.385567784,0.513911744,0.538250513,-0.427323072,0.353638561,0.236221732,0.358079207,0.192789509,0.002909917,-0.023052037,0.171701499,0.010868557,0.000424638,0.059801016,-0.348963052,1.724541682,-1.415425378,-1.049137398,-0.00107645,0.314506942,-0.000518185,0.12219917,0.313748679,-0.012570096,0.122038865
1704456553.14407,0.097100536,0.001590574,-0.015899422,0.131402463,0.008744061,0,0.478198022,2.273480415,-3.648511887,-0.316563189,0.21875596,0.402873129,0.457765178,0.511936957,-0.402743183,0.301043583,0.223533379,0.341003515,0.151971811,0.002151009,-0.01777015,0.135589856,0.008937508,0.000421696,0.061675349,-0.348941747,1.724541682,-1.415477576,-1.049159768,-0.001068993,0.314506942,-0.000518185,0.12219917,0.313769711,-0.011993829,0.122046416
1704456553.15609,0.07375639,0.001684306,-0.014521186,0.09941572,0.00899045,0,0.462747216,2.273240089,-3.585320711,-0.36902222,0.212925494,0.402873129,0.413038388,0.489278587,-0.383579765,0.255485675,0.213976826,0.325751448,0.120879512,0.002222601,-0.016100905,0.103011229,0.009151528,0.000355242,0.063654344,-0.348937486,1.724549139,-1.415569722,-1.049152311,-0.001072721,0.314506942,-0.000518185,0.12219917,0.31379474,-0.011394342,0.12204788
1704456553.16758,0.046031642,0.001569983,-0.012041918,0.061562147,0.008710088,0,0.44113028,2.330784559,-3.562190533,-0.414701015,0.224508747,0.402873129,0.358426417,0.457104513,-0.358190247,0.201252711,0.200313932,0.305620238,0.084370665,0.002036313,-0.013297733,0.064545539,0.008837773,0.00038665,0.065628545,-0.348939617,1.724549139,-1.415681042,-1.049170421,-0.001054079,0.314506942,-0.000518185,0.12219917,0.313814478,-0.010800527,0.122049231
1704456553.17889,0.039473385,0.001543151,-0.011884306,0.052539845,0.009381297,0,0.31414783,2.186870575,-3.475941181,-0.517926872,0.189993694,0.437360495,0.326728954,0.412673114,-0.322691941,0.182253964,0.181892881,0.27440872,0.080383505,0.001992367,-0.013237686,0.055738621,0.009521347,0.000443569,0.06898759,-0.348935888,1.724558726,-1.415728979,-1.049192791,-0.001068993,0.314506942,-0.000518185,0.12219917,0.313841184,-0.009757605,0.122049136
